UGL,Union Glacier Blue-Ice Runway,AQ
SXW,Sauren,PG
NDV,USN Heliport,US
EAP,EuroAirport Basel-Mulhouse-Freiburg Airport,CH
NET,New Bight,BS
MSK,Mastic Point,BS
LYG,Lianyungang Airport,CN
YIG,Big Bay Marina,CA
ACI,Alderney Airport,GB
ANT,St Anton,AT
APW,Faleolo Airport,WS
LYI,Linyi Airport,CN
LHB,Lost Harbor Sea Port,US
MZS,Mostyn,MY
MDE,Jose Maria Cordova International Airport,CO
MDH,Southern Illinois,US
YFL,Fort Reliance,CA
YEP,Estevan Point,CA
JTN,Antônio Ribeiro Nogueira Jr. State Airport,BR
YGA,Gagnon,CA
MDK,Mbandaka,CD
LMV,Madivaru Airport,MV
LZC,Lazaro Cardenas Airport,MX
AQP,Rodriguez Ballon International Airport,PE
NKI,Naukiti,US
YSV,Saglek,CA
AST,Astoria,US
TYC,Taiyuan Yaocheng Airport,CN
YTI,Triple Island,CA
LZH,Liuzhou Airport,CN
MEC,Manta Airport,EC
DZH,Dazhou Jinya Airport,CN
EES,Berenice International Airport,EG
YHA,Port Hope Simpson,CA
KFZ,Kukës International Airport,AL
JTA,Pedro Teixeira Castelo Airport,BR
KJB,Uyyalawada Narasimha Reddy Airport,IN
YPF,Esquimalt,CA
EHU,Ezhou Huahu Airport,CN
FZL,Fuzuli International Airport,AZ
KXB,Sangia Nibandera Airport,ID
GDR,Angra dos Reis Airport,BR
HLJ,Beidahuang General Airport,CN
HZU,Chengdu Huaizhou Airport,CN
NGR,Ningerum,PG
MXQ,Lorenzo Airport,BR
AFK,Ampara Kondavattavan Tank Airport,LK
JHF,São Paulo Catarina Executive Airport,BR
AGK,Kagua,PG
BLL,Billund Airport,DK
CBA,Corner Bay,US
JSB,Walfrido Salmito de Almeida Airport,BR
ATH,Eleftherios Venizelos International Airport,GR
TXC,Balbasovo Air Base,BY
YLE,Wha Ti,CA
UHS,Aleksandrovsk-Sakhalinskiy Airport,RU
MEH,Mehamn Airport,NO
ZMF,Beverello Harbor,IT
MEI,Key Field,US
MEL,Tullamarine Airport,AU
MEM,Memphis International Airport,US
MEN,Brenoux,FR
MHB,Mechanics Bay,NZ
MBS,MBS International Airport,US
MBW,Moorabbin,AU
MBY,Moberly,US
AVP,Wilkes-Barre/Scranton International Airport,US
DIA,Doha International Airport,QA
GNJ,Ganja International Airport,AZ
YGQ,Geraldton,CA
GYO,Bandar Udara Senubung,ID
HIT,Haivaro,PG
YNN,Yandi,AU
MEO,Dare County Regional,US
HSF,Suifenhe Dongning Airport,CN
MEY,Meghauli,NP
YOG,Ogoki,CA
YEL,Elliot Lake,CA
INR,Kincheloe AFB,US
YFH,Fort Hope,CA
RDL,Al Bardawil International Airport,EG
VCC,New Vacaria Airport,BR
CSP,Cape Spencer C G Heliport,US
MKZ,Malacca International Airport,MY
MLC,Mc Alester,US
YFS,Fort Simpson,CA
GDB,Gondia Airport,IN
AEI,Algeciras,ES
LCO,Lague,CG
MLE,Male International Airport,MV
AQG,Anqing Tianzhushan Airport,CN
VBM,Blue Mountain,US
YHU,St. Hubert Airport,CA
YIV,Island Lake Airport,CA
QMK,Heliport,GL
JCS,Aeroporto De Crateus Airport,BR
AQI,Qaisumah Airport,SA
YGW,Kuujjuarapik Airport,CA
AQJ,King Hussein International Airport,JO
YHF,Hearst,CA
ATP,Airstrip,PG
AUP,Agaun,PG
MLG,Abdul Rachman Saleh Airport,ID
LVI,Livingstone Airport,ZM
AHA,Naha AFB,JP
AME,Alto Molocue,MZ
BCZ,Bickerton Island,AU
AXO,Bandar Udara Pantar,ID
MDN,Jefferson Proving Grd,US
YLR,Leaf Rapids,CA
CNY,Canyonlands Field,US
CTV,Catoca Airport,AO
CWP,Campbellpore,PK
YLJ,Meadow Lake,CA
MDG,Mudanjiang Airport,CN
BCP,Bambu,PG
MEK,Meknes,MA
JPO,Brigadeiro Firmino Ayres Airport,BR
JPE,Nagib Demachki Airport,BR
JPY,Paraty Airport,BR
YJF,Fort Liard,CA
YCM,Niagara District Airport,CA
BHL,Bahia Angeles,MX
MEA,Macae,BR
MEF,Melfi,TD
NNK,Naknek,US
WTL,Tuntutuliak,US
YPS,Port Hawkesbury,CA
OOD,Gudai-Darri Airstrip,AU
YPR,Digby Island Airport,CA
VSK,Vista Field,US
BNF,Warm Spring Bay SPB,US
CGX,Merrill C Meigs,US
CHW,Jiuhuang,CN
COD,Yellowstone Regional Airport,US
